units,lr,dropout,val_accuracy,val_loss,fitness,epochs_treinadas
512,0.0001,0.7,0.9180000424385071,0.21861301362514496,0.08199995756149292,30
512,0.0003,0.7,0.9140000343322754,0.21620042622089386,0.08599996566772461,30
512,0.001,0.7,0.9020000696182251,0.20658540725708008,0.0979999303817749,26
512,0.003,0.7,0.8920000195503235,0.22993524372577667,0.10799998044967651,28
512,0.01,0.7,0.878000020980835,0.4174596667289734,0.12199997901916504,20
1024,1e-05,0.3,0.89000004529953,0.2934858202934265,0.10999995470046997,30
1024,3e-05,0.3,0.9100000262260437,0.22509710490703583,0.0899999737739563,30
1024,0.0001,0.3,0.9140000343322754,0.1896533966064453,0.08599996566772461,30
1024,0.0003,0.3,0.9200000166893005,0.18929024040699005,0.07999998331069946,21
1024,0.001,0.3,0.9100000262260437,0.2102273553609848,0.0899999737739563,22
1024,0.003,0.3,0.9040000438690186,0.23435474932193756,0.09599995613098145,12
1024,0.01,0.3,0.9000000357627869,0.24917343258857727,0.09999996423721313,20
1024,1e-05,0.4,0.8740000128746033,0.3080185651779175,0.12599998712539673,30
1024,3e-05,0.4,0.906000018119812,0.2327343076467514,0.09399998188018799,30
1024,0.0001,0.4,0.9300000667572021,0.1962011605501175,0.06999993324279785,30
1024,0.0003,0.4,0.9260000586509705,0.19742973148822784,0.07399994134902954,26
1024,0.001,0.4,0.9260000586509705,0.20263700187206268,0.07399994134902954,22
1024,0.003,0.4,0.9100000262260437,0.22694087028503418,0.0899999737739563,19
1024,0.01,0.4,0.8940000534057617,0.24162733554840088,0.10599994659423828,22
1024,1e-05,0.5,0.8580000400543213,0.3238886892795563,0.1419999599456787,30
1024,3e-05,0.5,0.9000000357627869,0.23612572252750397,0.09999996423721313,30
1024,0.0001,0.5,0.9120000600814819,0.20255333185195923,0.08799993991851807,30
1024,0.0003,0.5,0.9120000600814819,0.18948811292648315,0.08799993991851807,20
1024,0.001,0.5,0.9240000247955322,0.19218382239341736,0.07599997520446777,22
1024,0.003,0.5,0.9180000424385071,0.19573399424552917,0.08199995756149292,22
1024,0.01,0.5,0.9020000696182251,0.2367086559534073,0.0979999303817749,23
1024,1e-05,0.6,0.8640000224113464,0.332473486661911,0.13599997758865356,30
1024,3e-05,0.6,0.8940000534057617,0.255034863948822,0.10599994659423828,30
1024,0.0001,0.6,0.9160000681877136,0.19943290948867798,0.08399993181228638,30
1024,0.0003,0.6,0.9180000424385071,0.19023573398590088,0.08199995756149292,23
1024,0.001,0.6,0.9120000600814819,0.196094810962677,0.08799993991851807,24
1024,0.003,0.6,0.9000000357627869,0.21980145573616028,0.09999996423721313,21
1024,0.01,0.6,0.8420000672340393,0.3415083885192871,0.1579999327659607,13
1024,1e-05,0.7,0.8580000400543213,0.33375221490859985,0.1419999599456787,30
1024,3e-05,0.7,0.8880000710487366,0.26678696274757385,0.11199992895126343,30
1024,0.0001,0.7,0.9100000262260437,0.20368903875350952,0.0899999737739563,30
1024,0.0003,0.7,0.9140000343322754,0.2027018964290619,0.08599996566772461,30
1024,0.001,0.7,0.9220000505447388,0.1849416047334671,0.07799994945526123,30
1024,0.003,0.7,0.906000018119812,0.21872077882289886,0.09399998188018799,28
1024,0.01,0.7,0.8500000238418579,0.36926257610321045,0.1499999761581421,14
